Categoría,Ítem,Estado
Aspectos Legales y Corporativos,"Verificar registro de la sociedad en el Registro Mercantil Nacional (RMN): Obtener certificado de vigencia y estatutos sociales actualizados.",Pendiente
Aspectos Legales y Corporativos,"Revisar composición accionaria: Lista de accionistas, porcentajes y restricciones (ej. cláusulas de drag-along/tag-along).",Pendiente
Aspectos Legales y Corporativos,"Confirmar poderes de los directores y representantes legales: Certificados notariales y vigencia.",Pendiente
Aspectos Legales y Corporativos,"Evaluar litigios pendientes: Búsqueda en tribunales venezolanos, arbitrajes internacionales y registros públicos.",Pendiente
Aspectos Legales y Corporativos,"Revisar propiedad intelectual: Patentes, marcas y derechos de autor registrados en el Servicio Autónomo de Propiedad Intelectual (SAPI).",Pendiente
Aspectos Legales y Corporativos,"Verificar cumplimiento con leyes sectoriales: Permisos específicos (ej. CONATEL para telecom, MINEC para minería).",Pendiente
Aspectos Legales y Corporativos,"Evaluar exposición a sanciones: Chequear listas de OFAC (EE.UU.), UE y otras entidades internacionales.",Pendiente
Aspectos Financieros y Fiscales,"Auditar estados financieros de los últimos 3 años: Balances, estados de resultados y flujos de caja, ajustados por inflación (IPC venezolano).",Pendiente
Aspectos Financieros y Fiscales,"Revisar deudas y pasivos: Lista de acreedores, garantías y vencimientos.",Pendiente
Aspectos Financieros y Fiscales,"Verificar cumplimiento tributario: Certificados de SENIAT (impuestos sobre la renta, IVA, ISLR); buscar multas o inspecciones pendientes.",Pendiente
Aspectos Financieros y Fiscales,"Evaluar controles cambiarios: Impacto de restricciones del BCV en transferencias de divisas.",Pendiente
Aspectos Financieros y Fiscales,"Analizar valuación: Comparar con benchmarks del sector, ajustando por riesgos económicos (hiperinflación, devaluación).",Pendiente
Aspectos Operacionales y de Recursos Humanos,"Inspeccionar activos físicos: Visita a instalaciones, evaluación de mantenimiento y riesgos ambientales (cumplimiento con Ley de Ambiente).",Pendiente
Aspectos Operacionales y de Recursos Humanos,"Revisar contratos clave: Proveedores, clientes y alianzas estratégicas; identificar cláusulas de rescisión o penalidades.",Pendiente
Aspectos Operacionales y de Recursos Humanos,"Evaluar recursos humanos: Contratos laborales, sindicatos activos y posibles indemnizaciones por despidos.",Pendiente
Aspectos Operacionales y de Recursos Humanos,"Verificar seguros y coberturas: Pólizas de responsabilidad civil, propiedad y riesgos operativos.",Pendiente
Aspectos Operacionales y de Recursos Humanos,"Analizar cadena de suministro: Dependencias críticas y vulnerabilidades (ej. importaciones restringidas).",Pendiente
Aspectos de Riesgos y Cumplimiento,"Evaluar riesgos políticos y regulatorios: Impacto de cambios en legislación o gobierno.",Pendiente
Aspectos de Riesgos y Cumplimiento,"Revisar compliance anticorrupción: Cumplimiento con Ley contra la Corrupción y estándares internacionales (FCPA).",Pendiente
Aspectos de Riesgos y Cumplimiento,"Identificar riesgos cibernéticos y de datos: Protección de información sensible bajo leyes de privacidad.",Pendiente
Aspectos de Riesgos y Cumplimiento,"Considerar seguros de inversión: Opciones como MIGA o pólizas locales para riesgos políticos/económicos.",Pendiente
Cierre y Monitoreo,"Preparar informe de hallazgos: Resumir riesgos identificados y recomendaciones de mitigación.",Pendiente
Cierre y Monitoreo,"Negociar cláusulas contractuales: Indemnizaciones, garantías y representaciones en el acuerdo de inversión.",Pendiente
Cierre y Monitoreo,"Plan de monitoreo post-inversión: Revisiones periódicas de cumplimiento y actualizaciones regulatorias.",Pendiente